,useless,pr_min_color,pr_min,pr_avg,rc_min_color,rc_min,rc_avg,colorspace,degree,regularization
196,0.028846153846153848,Silver,0.7142857142857143,0.8848124039407884,Grey,0.5,0.8222768732105765,HVabCb,4,0.1
347,0.030982905982905984,Grey,0.71875,0.8847773680744798,Grey,0.6052631578947368,0.8406669971788611,SVRLCb,4,0.1
529,0.029914529914529916,Grey,0.696969696969697,0.8846757599871373,White,0.5714285714285714,0.8316671380941598,SLaYCb,4,0.1
518,0.030982905982905984,Grey,0.71875,0.8846659190857787,White,0.5952380952380952,0.8336725346350937,SBaYCr,4,0.1
93,0.030982905982905984,Grey,0.71875,0.8846454943451507,Grey,0.6052631578947368,0.8289200889318196,HSBaCb,4,0.1
92,0.029914529914529916,Grey,0.7419354838709677,0.8846357736119496,Grey,0.6052631578947368,0.8313036648943425,HSBaCr,4,0.1
106,0.030982905982905984,Grey,0.696969696969697,0.8845864422392554,White,0.5476190476190477,0.828053974081852,HSLbCb,4,0.1
743,0.026709401709401708,Silver,0.7439024390243902,0.8845851768990157,White,0.5952380952380952,0.8261772678101562,GBLYCr,4,0.1
283,0.027777777777777776,Silver,0.7102272727272727,0.8844488270367173,Grey,0.6052631578947368,0.8264131872994696,HGLYCb,4,0.1
251,0.026709401709401708,Silver,0.7109826589595376,0.884398738652506,Grey,0.5,0.813618249902369,HRabCr,4,0.1
382,0.029914529914529916,Grey,0.71875,0.8843476785205588,Grey,0.6052631578947368,0.833945909556661,SVBLCr,4,0.1
9,0.029914529914529916,Grey,0.7333333333333333,0.8843219516507581,Grey,0.5789473684210527,0.8298951968012331,HSVGL,4,0.1
493,0.030982905982905984,Grey,0.71875,0.8843119220509353,White,0.5952380952380952,0.8333465517201527,SGLYCb,4,0.1
182,0.027777777777777776,Grey,0.7272727272727273,0.884311729392683,White,0.5714285714285714,0.8247584620259955,HVBYCb,4,0.1
367,0.029914529914529916,Grey,0.7058823529411765,0.8843101782702388,White,0.5952380952380952,0.8331803622968386,SVGLCr,4,0.1
428,0.028846153846153848,Grey,0.71875,0.884264982734659,White,0.5714285714285714,0.8316252977505953,SRGaCb,4,0.1
453,0.030982905982905984,Grey,0.696969696969697,0.8842384111614882,Grey,0.6052631578947368,0.8368060551796561,SRLaCb,4,0.1
65,0.027777777777777776,Grey,0.6470588235294118,0.8841993049543595,Grey,0.5789473684210527,0.8299262576763987,HSGBa,4,0.1
368,0.028846153846153848,Grey,0.6764705882352942,0.8840627979890294,White,0.5952380952380952,0.8324951715362399,SVGLCb,4,0.1
166,0.028846153846153848,Grey,0.71875,0.884010043711373,White,0.5476190476190477,0.8246163013423776,HVGYCr,4,0.1
79,0.027777777777777776,Grey,0.6666666666666666,0.883958883769089,Grey,0.5789473684210527,0.8279463168421736,HSGbY,4,0.1
