,useless,pr_min_color,pr_min,pr_avg,rc_min_color,rc_min,rc_avg,colorspace,degree,regularization
1,0.03632478632478633,Grey,0.6176470588235294,0.8706533264597138,Grey,0.5526315789473685,0.8371454201713784,BCbCrH,4,2
358,0.035256410256410256,Grey,0.7307692307692307,0.8705618364322197,Grey,0.5,0.8354806841172764,CrRab,4,2
254,0.03739316239316239,Silver,0.7365269461077845,0.8703823872184459,Grey,0.47368421052631576,0.8346169545751976,CbLRb,4,2
328,0.030982905982905984,Grey,0.7,0.8702584043598095,Grey,0.5526315789473685,0.8270564192886329,CrHVY,4,2
210,0.035256410256410256,Grey,0.6451612903225806,0.870221319894437,Grey,0.5263157894736842,0.8411121631793447,CbGLV,4,2
356,0.035256410256410256,Silver,0.7407407407407407,0.8702067317409247,Grey,0.5,0.8375090391589037,CrRYa,4,2
430,0.03311965811965812,Grey,0.6285714285714286,0.8697368010694801,Grey,0.5789473684210527,0.8318935510480283,HLSV,4,2
56,0.03418803418803419,Grey,0.75,0.8696087609447402,Grey,0.39473684210526316,0.8327744385943847,BCrHV,4,2
255,0.03739316239316239,Grey,0.6666666666666666,0.8690908723431486,Grey,0.5263157894736842,0.8258848280620565,CbLSV,4,2
354,0.03205128205128205,Silver,0.7409638554216867,0.8688825097153329,Grey,0.5,0.8262937800401121,CrRVa,4,2
349,0.03739316239316239,Grey,0.7096774193548387,0.8688439054273116,Grey,0.5789473684210527,0.8300846672255253,CrRSV,4,2
264,0.041666666666666664,Grey,0.7307692307692307,0.868729765737249,Grey,0.5,0.8360628659384219,CbLab,4,2
298,0.035256410256410256,Grey,0.6285714285714286,0.8686307753270264,Grey,0.5789473684210527,0.828644699225211,CrGRS,4,2
268,0.03311965811965812,Grey,0.6666666666666666,0.8685158524590262,Grey,0.5263157894736842,0.8164416990538659,CbRSb,4,2
289,0.03311965811965812,Grey,0.6551724137931034,0.8681586509246989,Grey,0.5,0.8291797653177269,CrGHY,4,2
9,0.03418803418803419,Grey,0.7037037037037037,0.8681475435779001,Grey,0.5,0.8275698314636057,BCbGH,4,2
344,0.03418803418803419,Silver,0.75,0.8679552182675957,Grey,0.5526315789473685,0.8369791248303055,CrLVa,4,2
318,0.038461538461538464,Grey,0.72,0.8678136650737719,Grey,0.47368421052631576,0.8330988653610838,CrHLb,4,2
365,0.03632478632478633,Silver,0.7453416149068323,0.8675079152803066,Grey,0.5526315789473685,0.8350558099993983,CrVYa,4,2
121,0.035256410256410256,Grey,0.5897435897435898,0.8674317135855597,Grey,0.6052631578947368,0.8425554055577683,BHSY,4,2
275,0.03311965811965812,Grey,0.6666666666666666,0.8671906373437804,Green,0.5483870967741935,0.8033771601550139,CbSVY,4,2
22,0.03632478632478633,Grey,0.7083333333333334,0.8671512089461928,Grey,0.4473684210526316,0.8196041325317639,BCbHa,4,2
383,0.03632478632478633,Grey,0.6764705882352942,0.8667982260907436,Grey,0.6052631578947368,0.8363722373836071,GHSb,4,2
382,0.035256410256410256,Grey,0.7096774193548387,0.8664790747891689,Grey,0.5789473684210527,0.8274443002442775,GHSa,4,2
173,0.03952991452991453,Grey,0.7333333333333333,0.8659585688773801,Grey,0.5789473684210527,0.8343164852407668,CbCrHL,4,2
440,0.03739316239316239,Grey,0.6216216216216216,0.8657814630227805,Grey,0.6052631578947368,0.8354661138774285,HRSV,4,2
375,0.035256410256410256,Grey,0.6176470588235294,0.8654831583476112,Grey,0.5526315789473685,0.83592868185951,GHRS,4,2
94,0.03632478632478633,Grey,0.4888888888888889,0.8652946720796586,Grey,0.5789473684210527,0.8296004091870047,BGRS,4,2
432,0.03205128205128205,Silver,0.6153846153846154,0.8648778738725749,Grey,0.4473684210526316,0.7816549254829585,HLSa,4,2
308,0.03739316239316239,Silver,0.759493670886076,0.864843447455577,Grey,0.5526315789473685,0.8330279980716976,CrGVa,4,2
256,0.03311965811965812,Grey,0.6896551724137931,0.8647919857942827,Grey,0.5263157894736842,0.8126724415308461,CbLSY,4,2
360,0.035256410256410256,Grey,0.5945945945945946,0.8645455316790772,Grey,0.5789473684210527,0.8281646345087452,CrSVa,4,2
35,0.03311965811965812,Silver,0.7272727272727273,0.8644992774873212,Green,0.4838709677419355,0.7970679328065715,BCbSV,4,2
454,0.03632478632478633,Grey,0.6216216216216216,0.8641535408410221,Grey,0.6052631578947368,0.837116363479541,HSYb,4,2
441,0.03632478632478633,Grey,0.6176470588235294,0.8639126200131213,Grey,0.5526315789473685,0.8329364818706468,HRSY,4,2
